From	To
P33981	TTK
Q15835	GRK1
Q8N752	CSNK1A1L
Q12851	MAP4K2
Q9P289	STK26
Q9H3Y6	SRMS
Q8TDC3	BRSK1
O14920	IKBKB
Q15349	RPS6KA2
Q96GD4	AURKB
Q8IXL6	FAM20C
P51451	BLK
O60885	BRD4
O14874	BCKDK
P51955	NEK2
Q13043	STK4
P00540	MOS
Q05513	PRKCZ
Q8IVH8	MAP4K3
P54764	EPHA4
P78362	SRPK2
P51817	PRKX
Q16659	MAPK6
Q13555	CAMK2G
Q15118	PDK1
Q96RG2	PASK
Q96KB5	PBK
Q9NZJ5	EIF2AK3
P15056	BRAF
Q8TD19	NEK9
Q15746	MYLK
P05129	PRKCG
Q8IV63	VRK3
P36888	FLT3
Q96SB4	SRPK1
P30291	WEE1
Q9H4B4	PLK3
Q14004	CDK13
P53779	MAPK10
Q96PY6	NEK1
Q8IZL9	CDK20
P30530	AXL
O43293	DAPK3
P21802	FGFR2
Q07912	TNK2
Q9Y243	AKT3
Q13233	MAP3K1
Q96S44	TP53RK
Q9UM73	ALK
O75582	RPS6KA5
Q9Y4K4	MAP4K5
Q9UEE5	STK17A
Q8TD08	MAPK15
Q6IQ55	TTBK2
Q9NWZ3	IRAK4
Q9UKE5	TNIK
Q5TCY1	TTBK1
Q9NYL2	MAP3K20
Q9Y6R4	MAP3K4
O60285	NUAK1
Q8IYT8	ULK2
Q96S53	TESK2
P35916	FLT4
Q9H422	HIPK3
P29320	EPHA3
P29322	EPHA8
P31152	MAPK4
P67775	PPP2CA
P01116	KRAS
O96020	CCNE2
P40189	IL6ST
P30307	CDC25C
Q9BV47	DUSP26
P20248	CCNA2
P24385	CCND1
P49593	PPM1F
P21980	TGM2
P14635	CCNB1
O60729	CDC14B
Q9UGI9	PRKAG3
O43741	PRKAB2
P54619	PRKAG1
Q08209	PPP3CA
P48454	PPP3CC
P16298	PPP3CB
Q15078	CDK5R1
P17706	PTPN2
P29350	PTPN6
P23467	PTPRB
Q15173	PPP2R5B
P62714	PPP2CB
Q7L7X3	TAOK1
P10586	PTPRF
P54829	PTPN5
Q12913	PTPRJ
O95388	CCN4
P43378	PTPN9
Q9HCK4	ROBO2
Q9Y6N7	ROBO1
Q96MS0	ROBO3
Q06124	PTPN11
O15169	AXIN1
P25054	APC
